occ_code,title,JobFamily,isBright,isGreen,JobZone,MedianSalary,pct_computer,pct_physical,pct_communication,pct_analyze,pct_manage,pct_creative,pct_textnative,observed_exposure
11-1011,Chief Executives,Management,0,1,5,189600.0,0.2040816326530612,0.0204081632653061,0.5306122448979592,0.4693877551020408,0.6326530612244898,0.0816326530612244,0.1020408163265306,0.0333
11-1021,General and Operations Managers,Management,1,1,4,100930.0,0.1176470588235294,0.0,0.5882352941176471,0.2941176470588235,0.7058823529411765,0.1764705882352941,0.0,0.1378
11-1031,Legislators,Management,0,0,4,24670.0,0.1,0.0333333333333333,0.4666666666666667,0.5,0.2333333333333333,0.0,0.0666666666666666,0.0
11-2011,Advertising and Promotions Managers,Management,0,1,2,117130.0,0.1219512195121951,0.048780487804878,0.5853658536585366,0.6341463414634146,0.3414634146341463,0.2439024390243902,0.024390243902439,0.1731
11-2021,Marketing Managers,Management,1,1,4,134290.0,0.05,0.0,0.6,0.7,0.3,0.25,0.0,0.3195
11-2022,Sales Managers,Management,0,0,4,124220.0,0.1176470588235294,0.0,0.6470588235294118,0.4705882352941176,0.5294117647058824,0.0588235294117647,0.0588235294117647,0.0433
11-2032,Public Relations Managers,Management,0,0,4,100330.0,0.1081395348837209,0.0173469387755102,0.5284640171858217,0.4744245524296675,0.4843181818181818,0.018663594470046,0.0571895424836601,0.2315
11-3012,Administrative Services Managers,Management,0,0,4,100330.0,0.1081395348837209,0.0173469387755102,0.5284640171858217,0.4744245524296675,0.4843181818181818,0.018663594470046,0.0571895424836601,0.0
11-3013,Facilities Managers,Management,0,0,4,100330.0,0.1081395348837209,0.0173469387755102,0.5284640171858217,0.4744245524296675,0.4843181818181818,0.018663594470046,0.0571895424836601,0.1345
11-3021,Computer and Information Systems Managers,Management,1,0,4,142530.0,0.2941176470588235,0.0,0.4705882352941176,0.6470588235294118,0.6470588235294118,0.0,0.0588235294117647,0.1559
11-3031,Financial Managers,Management,1,0,3,127990.0,0.1162790697674418,0.0,0.5116279069767442,0.3720930232558139,0.6511627906976745,0.0,0.0930232558139534,0.3907
11-3051,Industrial Production Managers,Management,0,1,3,103380.0,0.0384615384615384,0.1076923076923077,0.3923076923076923,0.4384615384615384,0.4230769230769231,0.0307692307692307,0.0692307692307692,0.0132
11-3061,Purchasing Managers,Management,0,0,4,118940.0,0.0588235294117647,0.0,0.3529411764705882,0.5294117647058824,0.3529411764705882,0.0,0.0588235294117647,0.2004
11-3071,"Transportation, Storage, and Distribution Managers",Management,0,1,3,94730.0,0.125,0.0454545454545454,0.4886363636363636,0.4318181818181818,0.4886363636363636,0.0,0.034090909090909,0.0956
11-3111,Compensation and Benefits Managers,Management,0,0,4,121010.0,0.125,0.0,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.0,0.0833333333333333,0.0
11-3121,Human Resources Managers,Management,1,0,4,113300.0,0.1538461538461538,0.0,0.5,0.5,0.5384615384615384,0.0,0.0769230769230769,0.0
11-3131,Training and Development Managers,Management,1,0,4,111340.0,0.3333333333333333,0.0,0.9166666666666666,0.6666666666666666,0.5833333333333334,0.0833333333333333,0.0833333333333333,0.3777
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Management,0,1,2,67950.0,0.0303030303030303,0.1666666666666666,0.2575757575757575,0.3939393939393939,0.3333333333333333,0.0757575757575757,0.0303030303030303,0.0
11-9021,Construction Managers,Management,1,1,4,93370.0,0.2,0.52,0.4,0.48,0.48,0.0,0.04,0.1186
11-9031,"Education and Childcare Administrators, Preschool and Daycare",Management,1,0,4,47940.0,0.5882352941176471,0.0588235294117647,0.7647058823529411,0.5294117647058824,0.5882352941176471,0.0588235294117647,0.2352941176470588,0.0395
11-9032,"Education Administrators, Kindergarten through Secondary",Management,0,0,5,95310.0,0.4516129032258064,0.064516129032258,0.8709677419354839,0.3225806451612903,0.5161290322580645,0.032258064516129,0.1290322580645161,0.0525
11-9033,"Education Administrators, Postsecondary",Management,1,0,5,94340.0,0.0714285714285714,0.0357142857142857,0.7142857142857143,0.4642857142857143,0.5357142857142857,0.0,0.0357142857142857,0.0644
11-9041,Architectural and Engineering Managers,Management,0,1,4,140760.0,0.025,0.05,0.3,0.525,0.375,0.025,0.05,0.0306
11-9051,Food Service Managers,Management,1,0,2,54240.0,0.0357142857142857,0.1428571428571428,0.3928571428571428,0.5357142857142857,0.3571428571428571,0.0357142857142857,0.0,0.0
11-9071,Gambling Managers,Management,1,0,3,74700.0,0.0,0.0,0.5263157894736842,0.4210526315789473,0.3157894736842105,0.0,0.0,0.0
11-9081,Lodging Managers,Management,0,0,4,53390.0,0.0,0.0416666666666666,0.5,0.375,0.375,0.0416666666666666,0.0,0.1215
11-9111,Medical and Health Services Managers,Management,1,0,5,99730.0,0.3888888888888889,0.0,0.7222222222222222,0.4444444444444444,0.7222222222222222,0.0,0.0555555555555555,0.0659
11-9121,Natural Sciences Managers,Management,0,1,4,123860.0,0.0571428571428571,0.0142857142857142,0.5428571428571428,0.6428571428571429,0.3714285714285714,0.0142857142857142,0.1142857142857142,0.0613
11-9131,Postmasters and Mail Superintendents,Management,0,0,2,75970.0,0.0,0.0,0.6666666666666666,0.25,0.5,0.0,0.0833333333333333,0.0
11-9141,"Property, Real Estate, and Community Association Managers",Management,1,0,4,58340.0,0.037037037037037,0.2222222222222222,0.5185185185185185,0.4444444444444444,0.3333333333333333,0.0,0.037037037037037,0.1653
11-9151,Social and Community Service Managers,Management,1,0,4,65320.0,0.4375,0.0,0.875,0.375,0.75,0.0,0.0625,0.1808
11-9161,Emergency Management Directors,Management,0,0,4,74420.0,0.0434782608695652,0.0,0.7391304347826086,0.4782608695652174,0.4347826086956521,0.0434782608695652,0.0434782608695652,0.0
11-9171,Funeral Home Managers,Management,0,0,4,100330.0,0.1081395348837209,0.0173469387755102,0.5284640171858217,0.4744245524296675,0.4843181818181818,0.018663594470046,0.0571895424836601,0.0108
11-9179,"Personal Service Managers, All Other",Management,0,0,4,100330.0,0.1081395348837209,0.0173469387755102,0.5284640171858217,0.4744245524296675,0.4843181818181818,0.018663594470046,0.0571895424836601,0.1244
11-9199,"Managers, All Other",Management,0,1,4,107480.0,0.0829493087557603,0.0460829493087557,0.4608294930875576,0.5622119815668203,0.423963133640553,0.0230414746543778,0.0368663594470046,0.0686
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Business and Financial Operations,1,0,4,66040.0,0.0,0.0,1.0,0.5384615384615384,0.3846153846153846,0.0769230769230769,0.0769230769230769,0.118
13-1031,"Claims Adjusters, Examiners, and Investigators",Business and Financial Operations,0,0,2,65900.0,0.0344827586206896,0.0,0.5172413793103449,0.5172413793103449,0.1034482758620689,0.0,0.0689655172413793,0.0818
13-1032,"Insurance Appraisers, Auto Damage",Business and Financial Operations,0,0,3,62520.0,0.0,0.7142857142857143,0.2857142857142857,1.0,0.0,0.0,0.0,0.0
13-1041,Compliance Officers,Business and Financial Operations,0,1,3,68860.0,0.0330578512396694,0.0165289256198347,0.4793388429752066,0.5785123966942148,0.1735537190082644,0.0082644628099173,0.0743801652892562,0.1211
13-1051,Cost Estimators,Business and Financial Operations,1,0,4,64040.0,0.0,0.0769230769230769,0.5384615384615384,0.6923076923076923,0.3076923076923077,0.0,0.0769230769230769,0.0
13-1071,Human Resources Specialists,Business and Financial Operations,0,0,4,60880.0,0.16,0.0,0.68,0.36,0.6,0.0,0.04,0.4034
13-1074,Farm Labor Contractors,Business and Financial Operations,1,0,2,46150.0,0.0,0.0,0.375,0.0,0.5,0.0,0.0,0.0
13-1075,Labor Relations Specialists,Business and Financial Operations,0,0,4,67790.0,0.0,0.0,0.5714285714285714,0.3928571428571428,0.2142857142857142,0.0,0.1428571428571428,0.0
13-1081,Logisticians,Business and Financial Operations,0,1,4,74600.0,0.1585365853658536,0.024390243902439,0.3048780487804878,0.5365853658536586,0.2804878048780488,0.024390243902439,0.073170731707317,0.1571
13-1111,Management Analysts,Business and Financial Operations,1,0,5,83610.0,0.0909090909090909,0.0,0.8181818181818182,0.2727272727272727,0.7272727272727273,0.0909090909090909,0.0909090909090909,0.2435
13-1121,"Meeting, Convention, and Event Planners",Business and Financial Operations,1,0,4,49370.0,0.0476190476190476,0.0,0.5714285714285714,0.4761904761904761,0.3809523809523809,0.0,0.0,0.1023
13-1131,Fundraisers,Business and Financial Operations,1,0,4,56950.0,0.2142857142857142,0.0,0.5357142857142857,0.3928571428571428,0.3928571428571428,0.0357142857142857,0.0714285714285714,0.0466
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations,0,0,4,63000.0,0.2083333333333333,0.0,0.5833333333333334,0.625,0.25,0.0,0.0416666666666666,0.0649
13-1151,Training and Development Specialists,Business and Financial Operations,1,1,4,60870.0,0.35,0.0,0.9,0.3,0.5,0.05,0.05,0.2793
13-1161,Market Research Analysts and Marketing Specialists,Business and Financial Operations,1,0,4,63120.0,0.0769230769230769,0.0,0.6923076923076923,0.7692307692307693,0.2307692307692307,0.3846153846153846,0.0769230769230769,0.6483
13-1199,"Business Operations Specialists, All Other",Business and Financial Operations,1,1,3,70530.0,0.2700729927007299,0.072992700729927,0.4306569343065693,0.4963503649635036,0.2262773722627737,0.0510948905109489,0.0656934306569343,0.1846
13-2011,Accountants and Auditors,Business and Financial Operations,1,0,2,70500.0,0.1666666666666666,0.0,0.4444444444444444,0.6944444444444444,0.3611111111111111,0.0,0.1944444444444444,0.3478
13-2031,Budget Analysts,Business and Financial Operations,0,0,4,76220.0,0.3076923076923077,0.0769230769230769,0.3076923076923077,0.3846153846153846,0.7692307692307693,0.0,0.0769230769230769,0.0672
13-2041,Credit Analysts,Business and Financial Operations,0,0,4,71520.0,0.1,0.0,0.5,0.7,0.4,0.0,0.1,0.1685
13-2051,Financial and Investment Analysts,Business and Financial Operations,0,1,4,85660.0,0.1111111111111111,0.1111111111111111,0.3888888888888889,0.5555555555555556,0.0,0.0555555555555555,0.0555555555555555,0.5716
13-2052,Personal Financial Advisors,Business and Financial Operations,1,1,4,88890.0,0.0,0.0476190476190476,0.9047619047619048,0.4285714285714285,0.238095238095238,0.0,0.0476190476190476,0.3504
13-2053,Insurance Underwriters,Business and Financial Operations,0,0,4,69380.0,0.0,0.0,0.1428571428571428,0.5714285714285714,0.1428571428571428,0.0,0.0,0.0625
13-2054,Financial Risk Specialists,Business and Financial Operations,0,0,4,65970.0,0.0889328063241106,0.0,0.5370879120879121,0.5086206896551724,0.2622549019607843,0.0,0.0701970443349753,0.2649
13-2061,Financial Examiners,Business and Financial Operations,1,0,4,80180.0,0.0588235294117647,0.0,0.6470588235294118,0.6470588235294118,0.4117647058823529,0.0,0.0588235294117647,0.0428
13-2071,Credit Counselors,Business and Financial Operations,1,0,4,45180.0,0.1372549019607843,0.0,0.7058823529411765,0.3725490196078431,0.2745098039215686,0.0,0.0588235294117647,0.2341
13-2072,Loan Officers,Business and Financial Operations,1,0,3,63040.0,0.0869565217391304,0.0,0.6521739130434783,0.4782608695652174,0.217391304347826,0.0,0.0869565217391304,0.1857
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Business and Financial Operations,0,0,3,54440.0,0.1153846153846153,0.0384615384615384,0.5,0.5,0.0769230769230769,0.0,0.0769230769230769,0.0275
13-2082,Tax Preparers,Business and Financial Operations,0,0,3,39390.0,0.0909090909090909,0.0,0.7272727272727273,0.3636363636363636,0.0,0.0,0.2727272727272727,0.1283
13-2099,"Financial Specialists, All Other",Business and Financial Operations,0,1,2,70280.0,0.057471264367816,0.0344827586206896,0.4597701149425287,0.5977011494252874,0.1149425287356321,0.0114942528735632,0.0689655172413793,0.2202
15-1211,Computer Systems Analysts,Computer and Mathematical,1,0,5,87780.0,0.0811688311688311,0.0357142857142857,0.4318181818181818,0.5859375,0.2087053571428571,0.0,0.0811688311688311,0.2763
15-1212,Information Security Analysts,Computer and Mathematical,1,0,5,87780.0,0.0811688311688311,0.0357142857142857,0.4318181818181818,0.5859375,0.2087053571428571,0.0,0.0811688311688311,0.4859
15-1221,Computer and Information Research Scientists,Computer and Mathematical,1,0,5,87780.0,0.0811688311688311,0.0357142857142857,0.4318181818181818,0.5859375,0.2087053571428571,0.0,0.0811688311688311,0.3404
15-1231,Computer Network Support Specialists,Computer and Mathematical,1,0,5,87780.0,0.0811688311688311,0.0357142857142857,0.4318181818181818,0.5859375,0.2087053571428571,0.0,0.0811688311688311,0.2867
15-1232,Computer User Support Specialists,Computer and Mathematical,1,0,5,87780.0,0.0811688311688311,0.0357142857142857,0.4318181818181818,0.5859375,0.2087053571428571,0.0,0.0811688311688311,0.4685
15-1241,Computer Network Architects,Computer and Mathematical,1,0,5,87780.0,0.0811688311688311,0.0357142857142857,0.4318181818181818,0.5859375,0.2087053571428571,0.0,0.0811688311688311,0.1987
15-1242,Database Administrators,Computer and Mathematical,1,0,5,87780.0,0.0811688311688311,0.0357142857142857,0.4318181818181818,0.5859375,0.2087053571428571,0.0,0.0811688311688311,0.3315
15-1243,Database Architects,Computer and Mathematical,1,0,5,87780.0,0.0811688311688311,0.0357142857142857,0.4318181818181818,0.5859375,0.2087053571428571,0.0,0.0811688311688311,0.5787
15-1244,Network and Computer Systems Administrators,Computer and Mathematical,1,0,5,87780.0,0.0811688311688311,0.0357142857142857,0.4318181818181818,0.5859375,0.2087053571428571,0.0,0.0811688311688311,0.3373
15-1251,Computer Programmers,Computer and Mathematical,1,0,5,87780.0,0.0811688311688311,0.0357142857142857,0.4318181818181818,0.5859375,0.2087053571428571,0.0,0.0811688311688311,0.7451
15-1252,Software Developers,Computer and Mathematical,1,0,5,87780.0,0.0811688311688311,0.0357142857142857,0.4318181818181818,0.5859375,0.2087053571428571,0.0,0.0811688311688311,0.288
